"Record ID","Data Resource ID","Dataset name","Licence","Catalog Number","Taxon Concept ID","Scientific Name","Scientific name (intepreted)","Taxon rank","Common name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Institution Code","Collection Code","record _ number","Occurrence status","Longitude - original","Geodetic Datum","Decimal latitude (WGS84)","Decimal latitude (WGS84)","Coordinate uncertainty in metres","OSGR","OSGR 100km","OSGR 10km","OSGR 2km","OSGR 1km","Country","State/Province","Locality","Individual count","Collector","Year","Month","Date","Basis Of Record - original","Basis of record","Sex","Data Resource ID","Dataset name"
"fec87aaf-735c-4775-9939-b57f8e0358e4","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","282460","present","","","53.38324","-0.79798","100.0","SK800880","SK","SK88","SK88E","SK8088","United Kingdom","England","Bole Ings: Saundby Ponds","","Merritt, R.","1999","02","1999-02-28","","","","dr1418","Aquatic Heteroptera Dataset"
"faa73dee-d277-40b6-934c-d11e97f11573","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","296956","present","","","56.07111","-3.30995","100.0","NT185872","NT","NT18","NT18Y","NT1887","United Kingdom","Scotland","Cullaloe Cottage, pond","","Huxley, T.","2003","02","2003-02-24","","","","dr1418","Aquatic Heteroptera Dataset"
"f9f79c4c-1bfc-46a5-ac55-3d1373ec1ba5","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","282445","present","","","53.38047","-0.79054","100.0","SK805877","SK","SK88","SK88D","SK8087","United Kingdom","England","Bole Ings: ditches/1","","Merritt, R.","1999","02","1999-02-28","","","","dr1418","Aquatic Heteroptera Dataset"
"e8c8656f-f0ae-4f9c-93e6-bda77b7e4816","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","296955","present","","","56.07111","-3.30995","100.0","NT185872","NT","NT18","NT18Y","NT1887","United Kingdom","Scotland","Cullaloe Cottage, pond","","Huxley, T.","2003","02","2003-02-24","","","","dr1418","Aquatic Heteroptera Dataset"
"d84fdca9-f730-4405-a2f8-dc39f47d22c0","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","248574","present","","","52.01276","-0.76073","100.0","SP851356","SP","SP83","SP83M","SP8535","United Kingdom","England","Milton Keynes, Furzton Park, lake","","Brooke, S.; Nau, B.","2006","02","2006-02-05","","","","dr1418","Aquatic Heteroptera Dataset"
"d1fc8b77-c5da-4057-b39d-017083333096","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","279739","present","","","51.66204","-0.20065","100.0","TQ245974","TQ","TQ29","TQ29N","TQ2497","United Kingdom","England","Hadley Green","","Lansbury, I.F.L.","1953","02","1953-02-22","","","","dr1418","Aquatic Heteroptera Dataset"
"c790a099-739f-497a-bec5-440ac5ba07b6","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","283829","present","","","53.28963","-1.36617","100.0","SK423771","SK","SK47","SK47I","SK4277","United Kingdom","England","White Lodge, NE of Barrow Hill","","Merritt, R.","2001","02","2001-02-17","","","","dr1418","Aquatic Heteroptera Dataset"
"c732cb99-abc3-4f52-943e-ecaad23dddab","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","297306","present","","","56.26694","-2.78544","100.0","NO514085","NO","NO50","NO50E","NO5108","United Kingdom","Scotland","Pittarthie Farm, large pond","","Huxley, T.","2003","02","2003-02-24","","","","dr1418","Aquatic Heteroptera Dataset"
"c3ff303c-5a88-4acd-ada2-2ed9c90aab79","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","293279","present","","","53.67137","-1.80546","100.0","SE129194","SE","SE11","SE11J","SE1219","United Kingdom","England","Fixby Golf Club (pond), Huddersfield","","Merritt, R.","2007","02","2007-02-25","","","","dr1418","Aquatic Heteroptera Dataset"
"c33f13aa-1089-4925-9888-f4b8bacf8614","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","281224","present","","","53.28332","-1.56125","100.0","SK293763","SK","SK27","SK27Y","SK2976","United Kingdom","England","Ramsley Moor: pond/1","","Merritt, R.","1998","02","1998-02-28","","","","dr1418","Aquatic Heteroptera Dataset"
