x,y,species cloglog values
1.0,1.0,0.37031528
2.0,2.0,0.0055594454
3.0,3.0,0.0013916937
4.0,4.0,0.016387785
5.0,5.0,0.8470653
6.0,6.0,0.29278725
7.0,7.0,0.02363113
8.0,8.0,0.3326612
9.0,9.0,0.42525822
10.0,10.0,0.3645281
11.0,11.0,0.09316831
12.0,12.0,0.5229853
13.0,13.0,0.003234366
14.0,14.0,0.2830924
15.0,15.0,0.08727051
16.0,16.0,0.003985788
17.0,17.0,0.042112384
18.0,18.0,0.5478279
19.0,19.0,0.048000835
20.0,20.0,0.15854207
21.0,21.0,0.040113907
22.0,22.0,0.23058763
23.0,23.0,0.003253423
24.0,24.0,0.5245749
25.0,25.0,0.57437974
26.0,26.0,0.18203536
27.0,27.0,0.002537951
28.0,28.0,0.35597512
29.0,29.0,0.3738863
30.0,30.0,0.23064546
31.0,31.0,0.7837407
32.0,32.0,0.70178044
33.0,33.0,0.34863245
34.0,34.0,0.4177293
35.0,35.0,0.34944838
36.0,36.0,0.11536364
37.0,37.0,0.022442121
38.0,38.0,0.9368562
39.0,39.0,0.003848588
40.0,40.0,0.5692298
41.0,41.0,0.13778941
42.0,42.0,0.64575213
43.0,43.0,0.24903508
44.0,44.0,0.41014388
45.0,45.0,0.009522791
46.0,46.0,0.24916007
47.0,47.0,0.08838479
48.0,48.0,0.5238319
49.0,49.0,0.24253814
50.0,50.0,0.5151469
51.0,51.0,0.018638592
52.0,52.0,0.029550232
53.0,53.0,0.76909506
54.0,54.0,0.38030612
55.0,55.0,0.7395875
56.0,56.0,0.29535657
57.0,57.0,0.03420887
58.0,58.0,0.292754
59.0,59.0,0.24818876
60.0,60.0,0.06492329
61.0,61.0,0.26865003
62.0,62.0,0.23049085
63.0,63.0,0.5420594
64.0,64.0,0.12727268
65.0,65.0,0.0017815462
66.0,66.0,0.59347576
67.0,67.0,0.15281324
68.0,68.0,0.50780267
69.0,69.0,0.28486353
70.0,70.0,0.93431747
71.0,71.0,0.6943993
72.0,72.0,0.026659608
73.0,73.0,0.168482
74.0,74.0,0.15280648
75.0,75.0,0.13687895
76.0,76.0,0.6798446
77.0,77.0,0.28513104
78.0,78.0,0.5569479
79.0,79.0,0.48542586
80.0,80.0,0.010022318
81.0,81.0,0.38552007
82.0,82.0,0.75272447
83.0,83.0,0.4376964
84.0,84.0,0.0077190637
85.0,85.0,0.30442035
86.0,86.0,0.9246377
87.0,87.0,0.6568954
88.0,88.0,0.17252925
89.0,89.0,0.24246117
90.0,90.0,0.5513781
91.0,91.0,0.90620637
92.0,92.0,0.003512779
93.0,93.0,0.69629693
94.0,94.0,0.01093073
95.0,95.0,0.21511014
96.0,96.0,0.16638331
97.0,97.0,0.33439636
98.0,98.0,0.073381655
99.0,99.0,0.11169914
100.0,100.0,0.02228056
101.0,101.0,0.3187761
102.0,102.0,0.008078534
103.0,103.0,0.11979196
104.0,104.0,0.5536981
105.0,105.0,0.7237812
106.0,106.0,0.470525
107.0,107.0,0.016333163
108.0,108.0,0.57807976
109.0,109.0,0.09191618
110.0,110.0,0.010544468
111.0,111.0,0.0065764096
112.0,112.0,0.32917824
113.0,113.0,0.4668171
114.0,114.0,0.22111599
115.0,115.0,0.17765568
116.0,116.0,0.05342718
117.0,117.0,0.499707
118.0,118.0,0.6194591
119.0,119.0,0.44844288
120.0,120.0,0.004921597
121.0,121.0,0.6089757
122.0,122.0,0.2195554
123.0,123.0,0.031670336
124.0,124.0,0.013076649
125.0,125.0,0.81336445
126.0,126.0,0.64728534
127.0,127.0,9.6164795E-4
128.0,128.0,0.103277005
129.0,129.0,0.3926945
130.0,130.0,0.43428904
131.0,131.0,0.22560772
132.0,132.0,0.008297424
133.0,133.0,0.41552043
134.0,134.0,0.17228878
135.0,135.0,0.36849692
136.0,136.0,0.7616034
137.0,137.0,0.16833378
138.0,138.0,0.026572306
139.0,139.0,0.0972487
140.0,140.0,0.38450494
141.0,141.0,0.13469823
142.0,142.0,0.017717551
143.0,143.0,0.34453693
144.0,144.0,0.67853934
145.0,145.0,0.08968632
146.0,146.0,0.32587034
147.0,147.0,0.0074763712
148.0,148.0,0.0011955271
149.0,149.0,0.012890796
150.0,150.0,0.33929318
151.0,151.0,0.042606127
152.0,152.0,0.2268719
153.0,153.0,0.07719887
154.0,154.0,0.01691495
155.0,155.0,0.042368345
156.0,156.0,0.0034775243
157.0,157.0,0.013505806
158.0,158.0,0.30815214
159.0,159.0,0.006066798
160.0,160.0,0.11193083
161.0,161.0,0.98086625
162.0,162.0,0.25816056
163.0,163.0,0.12875836
164.0,164.0,0.09729377
165.0,165.0,0.43200633
166.0,166.0,0.3445961
167.0,167.0,0.19898754
168.0,168.0,0.47202498
169.0,169.0,0.3149175
170.0,170.0,0.75663936
171.0,171.0,0.14105946
172.0,172.0,0.19635847
173.0,173.0,0.0035890455
174.0,174.0,0.0012221143
175.0,175.0,0.0028405094
176.0,176.0,0.30795467
177.0,177.0,0.7857467
178.0,178.0,0.0021222818
179.0,179.0,0.0020444081
180.0,180.0,0.18135588
181.0,181.0,0.28152516
182.0,182.0,0.0010547036
183.0,183.0,0.0058245496
184.0,184.0,0.24046744
185.0,185.0,0.014195901
186.0,186.0,0.24150616
187.0,187.0,0.15783033
188.0,188.0,0.61809754
189.0,189.0,0.6872262
190.0,190.0,0.7669041
191.0,191.0,0.46083856
192.0,192.0,0.031426318
193.0,193.0,0.34829658
194.0,194.0,0.52201563
195.0,195.0,0.1920559
196.0,196.0,0.0023921358
197.0,197.0,0.5919285
198.0,198.0,0.2749619
199.0,199.0,0.22936039
200.0,200.0,0.46359387
201.0,201.0,0.20817521
202.0,202.0,0.39113843
203.0,203.0,0.5444997
204.0,204.0,0.2273108
205.0,205.0,0.012721709
206.0,206.0,0.21327579
207.0,207.0,0.20371568
208.0,208.0,0.21510217
209.0,209.0,0.64869887
210.0,210.0,0.6955805
211.0,211.0,0.7250563
212.0,212.0,0.011477798
213.0,213.0,0.75474495
214.0,214.0,0.714939
215.0,215.0,0.16939494
216.0,216.0,0.5999208
217.0,217.0,0.2787516
218.0,218.0,0.7295264
219.0,219.0,0.32425
220.0,220.0,0.018791135
221.0,221.0,0.54164153
222.0,222.0,0.06413721
223.0,223.0,0.85703623
224.0,224.0,0.4520907
225.0,225.0,0.06837389
226.0,226.0,0.03572025
227.0,227.0,0.447671
228.0,228.0,0.005352669
229.0,229.0,0.01234313
230.0,230.0,0.010640156
231.0,231.0,0.8225444
232.0,232.0,0.97854275
233.0,233.0,0.51879615
234.0,234.0,0.0020389385
235.0,235.0,0.27464968
236.0,236.0,0.4396653
237.0,237.0,0.013784163
238.0,238.0,0.08879184
239.0,239.0,0.5911937
240.0,240.0,0.011819538
241.0,241.0,0.5038474
242.0,242.0,0.17428568
243.0,243.0,0.096923314
244.0,244.0,0.39929777
245.0,245.0,0.7070091
246.0,246.0,0.82159764
247.0,247.0,0.2880537
248.0,248.0,0.6985466
249.0,249.0,0.7553325
250.0,250.0,0.46298966
251.0,251.0,0.60157645
252.0,252.0,0.20982727
253.0,253.0,0.44733667
254.0,254.0,0.4413429
255.0,255.0,0.6324252
256.0,256.0,9.01318E-4
257.0,257.0,0.046423227
258.0,258.0,0.036134467
259.0,259.0,0.70745564
260.0,260.0,0.010182981
261.0,261.0,0.46778992
262.0,262.0,0.21955036
263.0,263.0,0.11115117
264.0,264.0,0.8100432
265.0,265.0,0.70199287
266.0,266.0,0.0012139753
267.0,267.0,0.25198326
268.0,268.0,0.6328744
269.0,269.0,0.26423863
270.0,270.0,0.003906571
271.0,271.0,0.23034027
272.0,272.0,0.48453084
273.0,273.0,0.54114205
274.0,274.0,0.46559536
275.0,275.0,0.028204786
276.0,276.0,0.01598153
277.0,277.0,0.59427136
278.0,278.0,0.1645704
279.0,279.0,0.026139896
280.0,280.0,0.97829694
281.0,281.0,0.012976181
282.0,282.0,0.51911616
283.0,283.0,0.030087307
284.0,284.0,0.50483024
285.0,285.0,0.3614565
286.0,286.0,0.4032891
287.0,287.0,0.41275665
288.0,288.0,0.3654068
289.0,289.0,0.21878283
290.0,290.0,0.21604289
291.0,291.0,0.19364935
292.0,292.0,0.12846088
293.0,293.0,0.0054717003
294.0,294.0,0.36196774
295.0,295.0,0.04563162
296.0,296.0,0.63645655
297.0,297.0,0.29078904
298.0,298.0,0.095054865
299.0,299.0,0.7239033
300.0,300.0,0.0042597903
301.0,301.0,0.65877306
302.0,302.0,0.37952885
303.0,303.0,0.006358722
304.0,304.0,0.34256047
305.0,305.0,0.32036918
306.0,306.0,0.42655873
307.0,307.0,0.12542048
