X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,1.989037996975778E-4,45.39754223348848,0.6387479694245225
2.0,2.0,train,2.4637428772422015E-4,54.16278874890621,0.7166801102830301
3.0,3.0,train,1.466752078122542E-4,33.735101898757094,0.5280223539840836
4.0,4.0,train,7.946915680851404E-5,16.123365034736718,0.3342219785486634
5.0,5.0,train,5.787071897019712E-4,90.63799114736291,0.9483040343591892
6.0,6.0,train,6.178374610447276E-4,92.56181246309251,0.9576878752547127
7.0,7.0,train,1.455880582313253E-4,33.4446766564518,0.5253884437677774
8.0,8.0,train,3.431563341419681E-4,69.51008808234135,0.8273694504074809
9.0,9.0,train,4.8114276311803593E-4,84.83331025936315,0.9148165160443608
10.0,10.0,train,2.850704148482431E-4,61.06896506438674,0.7675923565823131
11.0,11.0,train,2.677476063937384E-4,58.258417536024446,0.7460423363321389
12.0,12.0,train,1.7631417947274638E-4,40.52798942668373,0.5944634159142044
13.0,13.0,train,5.203183017633762E-5,8.706674773630382,0.23382796814717088
14.0,14.0,train,7.966514595158533E-4,97.26860702182549,0.9830590624420135
15.0,15.0,train,3.1429072837121626E-4,65.47602440536839,0.7998803435029911
16.0,16.0,train,3.729051297080351E-4,72.75693982477195,0.851754298756145
17.0,17.0,train,1.2295485888485475E-4,27.57748569480341,0.46708869593141666
18.0,18.0,train,2.848435559299058E-4,61.03902563372691,0.7673223093742046
19.0,19.0,train,4.248433243370022E-4,79.50118847481471,0.8863638352764118
20.0,20.0,train,0.0010172569200775508,99.01347413511938,0.9945235131516974
21.0,21.0,train,4.114238960778067E-5,6.082152507836328,0.18990682209182452
22.0,22.0,train,1.7003355052792947E-4,39.12228040995058,0.5812134594310023
23.0,23.0,train,5.066795596653043E-4,86.5206744120062,0.9252547342605888
24.0,24.0,train,4.041901030338879E-4,77.3334952382032,0.873691831999559
25.0,25.0,train,3.1004356758247665E-4,64.95582902287106,0.7954818977314538
26.0,26.0,train,1.827751918562668E-4,41.85806509292138,0.6076566052146279
27.0,27.0,train,5.940110260342976E-4,91.3972866322547,0.9521993083582369
28.0,28.0,train,1.504042402823206E-4,34.76398099414952,0.5369463702735784
29.0,29.0,train,4.798126444316771E-4,84.71580541910019,0.9142345382928834
30.0,30.0,train,5.548365292584554E-4,89.34092203590859,0.9415850085790225
31.0,31.0,train,1.8941208420616227E-4,43.36129491188282,0.6207621744993597
32.0,32.0,train,8.46616354007747E-5,17.63892860478592,0.3516852820220141
33.0,33.0,train,2.7950090620568173E-5,3.2511825183433665,0.13331113511947268
34.0,34.0,train,2.614681327007481E-4,57.25840108095508,0.7377464163532323
35.0,35.0,train,2.391979144191107E-4,52.83775723174285,0.7060786727618783
36.0,36.0,train,1.3815043874124749E-4,31.609242313691034,0.5069702456786827
37.0,37.0,train,5.274780382371115E-4,88.01636452843549,0.9328036171956738
38.0,38.0,train,1.8484493174224275E-4,42.261197053112895,0.6117915025039624
39.0,39.0,train,2.525400542166723E-4,55.50355923411123,0.725482685341631
