Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.62838E-9,0.000000463,0.00002389,1,0,0
8.81647E-9,0.000001344,0.000045507,0.999900872,0,0
1.03611E-8,0.000003345,0.00005348,0.999702617,0,0
1.45434E-8,0.000011327,0.000075067,0.999107851,0,0
2.56766E-8,0.000026181,0.000132527,0.998413957,0,0
3.08875E-8,0.000051769,0.000159421,0.997521808,0,0
4.18628E-8,0.000103921,0.000216062,0.996134021,0,0
6.02054E-8,0.000255056,0.000310717,0.993259318,0,0
8.18418E-8,0.000503311,0.000422358,0.989789849,0,0
1.12405E-7,0.00100991,0.00058004,0.98463521,0,0
1.80511E-7,0.002514636,0.000931321,0.974524187,0,0
2.63173E-7,0.005023357,0.001357511,0.963223632,0,0
3.90263E-7,0.010023572,0.002012412,0.948057098,0,0
7.36818E-7,0.025000964,0.003796046,0.921292625,0.001618123,0
1.24795E-6,0.050061658,0.006420888,0.896213323,0.001618123,0
2.22219E-6,0.100084397,0.011404873,0.866871531,0.001618123,0
3.91678E-6,0.2003071,0.020014434,0.833465504,0.001618123,0
5.50592E-6,0.300095441,0.028020129,0.812351308,0.001618123,0
6.90889E-6,0.400686248,0.035033524,0.796193497,0.004854369,0
8.39814E-6,0.50042517,0.042422912,0.783306899,0.004854369,0
9.38343E-6,0.600826929,0.04728061,0.772105472,0.004854369,0
1.04978E-5,0.700959404,0.052745076,0.762093577,0.006472492,0
1.11055E-5,0.75067513,0.055711957,0.757533703,0.006472492,0
1.16808E-5,0.8008659,0.058511735,0.753172086,0.006472492,0
1.27074E-5,0.900948127,0.063487689,0.745043616,0.006472492,0
1.36975E-5,1.00033884,0.068261508,0.73760904,0.006472492,0
1.44636E-5,1.100383322,0.071938554,0.730570975,0.006472492,0
1.54048E-5,1.200514299,0.076436686,0.723929421,0.008090615,0
1.63064E-5,1.300965747,0.08072479,0.717684377,0.008090615,0
1.719E-5,1.401419848,0.084907593,0.711736717,0.008090615,0
1.80544E-5,1.500071391,0.088981469,0.706185567,0.008090615,0
1.97261E-5,1.751456964,0.096808776,0.693001586,0.011326861,0
2.1293E-5,2.001767491,0.104084637,0.68090801,0.01618123,0
2.2913E-5,2.251977377,0.111544821,0.669706582,0.019417476,0
2.44006E-5,2.50010656,0.118340898,0.659298176,0.022653722,0
2.58729E-5,2.750919155,0.125015565,0.649385408,0.022653722,0
2.70814E-5,3.00210964,0.130457072,0.639968279,0.027508091,0
2.8452E-5,3.25246164,0.136586979,0.631046788,0.029126214,0
2.94944E-5,3.501232803,0.14121999,0.622521808,0.030744337,0
3.09812E-5,3.751936998,0.147785608,0.614294211,0.030744337,0
3.2229E-5,4.001974204,0.153256896,0.606463125,0.03236246,0
3.35873E-5,4.252839709,0.159173003,0.598929421,0.033980583,0
3.47934E-5,4.50259792,0.164391223,0.591693101,0.033980583,0
3.58536E-5,4.750174846,0.168951574,0.584754163,0.033980583,0
3.68648E-5,5.001056414,0.173277951,0.577914354,0.033980583,0
3.79306E-5,5.251696454,0.177813718,0.571272799,0.035598706,0
3.9186E-5,5.502398912,0.183124189,0.5648295,0.035598706,0
4.05726E-5,5.753870922,0.188949872,0.558584457,0.037216828,0
4.15649E-5,6.000409307,0.193093432,0.552636796,0.038834951,0
